Month,Open,High,Low,Last,Change,Settle,Estimated Volume,Prior Day Open Interest,Trade Date,Settlement
FEB_23,,,,,-0.07,54.28,0.0,83.0,2019-03-06,Final
MAR_23,,,,,-0.06,54.25,0.0,83.0,2019-03-06,Final
APR_23,,,,,-0.05,54.24,0.0,83.0,2019-03-06,Final
MAY_23,,,,,-0.05,54.22,0.0,83.0,2019-03-06,Final
JUN_23,,,,,-0.04,54.21,0.0,83.0,2019-03-06,Final
JUL_23,,,,,-0.04,54.2,0.0,83.0,2019-03-06,Final
AUG_23,,,,,-0.05,54.2,0.0,83.0,2019-03-06,Final
SEP_23,,,,,-0.05,54.22,0.0,83.0,2019-03-06,Final
OCT_23,,,,,-0.05,54.23,0.0,83.0,2019-03-06,Final
NOV_23,,,,,-0.05,54.23,0.0,75.0,2019-03-06,Final
DEC_23,,,,,-0.05,54.21,0.0,75.0,2019-03-06,Final
JAN_24,,,,,-0.04,54.18,0.0,124.0,2019-03-06,Final
FEB_24,,,,,-0.04,54.14,0.0,122.0,2019-03-06,Final
MAR_24,,,,,-0.03,54.15,0.0,124.0,2019-03-06,Final
APR_24,,,,,-0.03,54.14,0.0,123.0,2019-03-06,Final
MAY_24,,,,,-0.02,54.17,0.0,124.0,2019-03-06,Final
JUN_24,,,,,-0.02,54.18,0.0,123.0,2019-03-06,Final
JUL_24,,,,,-0.01,54.18,0.0,124.0,2019-03-06,Final
AUG_24,,,,,-0.01,54.18,0.0,124.0,2019-03-06,Final
SEP_24,,,,,,54.22,0.0,123.0,2019-03-06,Final
OCT_24,,,,,0.01,54.27,0.0,124.0,2019-03-06,Final
NOV_24,,,,,0.01,54.28,0.0,123.0,2019-03-06,Final
DEC_24,,,,,0.01,54.23,0.0,124.0,2019-03-06,Final
JAN_25,,,,,0.01,54.24,0.0,10.0,2019-03-06,Final
FEB_25,,,,,0.01,54.25,0.0,10.0,2019-03-06,Final
MAR_25,,,,,0.01,54.26,0.0,10.0,2019-03-06,Final
APR_25,,,,,0.01,54.25,0.0,10.0,2019-03-06,Final
MAY_25,,,,,0.01,54.25,0.0,10.0,2019-03-06,Final
JUN_25,,,,,0.01,54.28,0.0,10.0,2019-03-06,Final
JUL_25,,,,,0.01,54.3,0.0,10.0,2019-03-06,Final
AUG_25,,,,,0.01,54.3,0.0,10.0,2019-03-06,Final
SEP_25,,,,,0.01,54.32,0.0,10.0,2019-03-06,Final
OCT_25,,,,,0.01,54.38,0.0,10.0,2019-03-06,Final
NOV_25,,,,,0.01,54.35,0.0,10.0,2019-03-06,Final
DEC_25,,,,,0.01,54.31,0.0,10.0,2019-03-06,Final
JAN_26,,,,,0.01,54.32,0.0,0.0,2019-03-06,Final
FEB_26,,,,,0.01,54.31,0.0,0.0,2019-03-06,Final
MAR_26,,,,,0.01,54.33,0.0,0.0,2019-03-06,Final
APR_26,,,,,0.01,54.31,0.0,0.0,2019-03-06,Final
MAY_26,,,,,0.01,54.31,0.0,0.0,2019-03-06,Final
JUN_26,,,,,0.01,54.34,0.0,0.0,2019-03-06,Final
JUL_26,,,,,0.01,54.33,0.0,0.0,2019-03-06,Final
AUG_26,,,,,0.01,54.33,0.0,0.0,2019-03-06,Final
SEP_26,,,,,0.01,54.35,0.0,0.0,2019-03-06,Final
OCT_26,,,,,0.01,54.38,0.0,0.0,2019-03-06,Final
NOV_26,,,,,0.01,54.35,0.0,0.0,2019-03-06,Final
DEC_26,,,,,0.01,54.31,0.0,0.0,2019-03-06,Final
JAN_27,,,,,0.01,54.31,0.0,0.0,2019-03-06,Final
FEB_27,,,,,0.01,54.29,0.0,0.0,2019-03-06,Final
MAR_27,,,,,0.01,54.28,0.0,0.0,2019-03-06,Final
APR_27,,,,,0.01,54.26,0.0,0.0,2019-03-06,Final
MAY_27,,,,,0.01,54.25,0.0,0.0,2019-03-06,Final
JUN_27,,,,,0.01,54.27,0.0,0.0,2019-03-06,Final
JUL_27,,,,,0.01,54.25,0.0,0.0,2019-03-06,Final
AUG_27,,,,,0.01,54.24,0.0,0.0,2019-03-06,Final
SEP_27,,,,,0.01,54.25,0.0,0.0,2019-03-06,Final
OCT_27,,,,,0.01,54.27,0.0,0.0,2019-03-06,Final
NOV_27,,,,,0.01,54.24,0.0,0.0,2019-03-06,Final
DEC_27,,,,,0.01,54.18,0.0,0.0,2019-03-06,Final
Total,,,,,,,1156.0,146916.0,2019-03-06,Final
"Last_Updated:_Friday,_08_Mar_2019_10:32_PM_About_This_Report",,,,,,,,,2019-03-06,Final
MAR_19,,,,,-0.03,56.65,125.0,15089.0,2019-03-05,Final
APR_19,,,,,-0.03,57.07,125.0,8984.0,2019-03-05,Final
MAY_19,,,,,-0.02,57.55,0.0,7317.0,2019-03-05,Final
JUN_19,,,,,-0.02,57.99,0.0,7357.0,2019-03-05,Final
JUL_19,,,,,-0.02,58.35,30.0,7460.0,2019-03-05,Final
AUG_19,,,,,-0.01,58.6,0.0,7532.0,2019-03-05,Final
SEP_19,,,,,-0.01,58.72,0.0,7228.0,2019-03-05,Final
OCT_19,,,,,-0.01,58.77,0.0,7113.0,2019-03-05,Final
NOV_19,,,,,,58.76,0.0,7222.0,2019-03-05,Final
DEC_19,,,,,,58.69,0.0,7666.0,2019-03-05,Final
JAN_20,,,,,,58.58,0.0,4561.0,2019-03-05,Final
FEB_20,,,,,,58.47,0.0,4103.0,2019-03-05,Final
MAR_20,,,,,,58.33,0.0,4103.0,2019-03-05,Final
APR_20,,,,,,58.17,0.0,4047.0,2019-03-05,Final
